30,30,5,125000,2,-28,40,2.7,2e5,50,0
30,30,1,860000,2,-55,40,4.0,2e5,50,0
30,30,1,860000,2,-54,40,3.8,2e5,50,0
30,30,1,860000,2,-53,40,3.8,2e5,50,0
30,30,1,860000,2,-52,40,3.8,2e5,50,0
30,30,1,860000,2,-50,40,3.8,2e5,50,0
30,30,1,860000,2,-49,40,3.6,2e5,50,0
30,30,1,860000,2,-48,40,3.6,2e5,50,0
30,30,1,860000,2,-47,40,3.6,2e5,50,0
30,30,1,860000,2,-46,40,3.6,2e5,50,0
30,30,1,860000,2,-45,40,3.6,2e5,50,0
30,30,1,860000,2,-44,40,3.6,2e5,50,0
30,30,1,860000,2,-43,40,3.6,2e5,50,0
30,30,1,860000,2,-42,40,3.6,2e5,50,0
30,30,1,860000,2,-41,40,3.6,2e5,50,0
30,30,1,860000,2,-40,40,3.4,2e5,50,0
30,30,1,860000,2,-35,40,3.0,2e5,50,0
30,30,5,125000,2,-42,40,3.8,2e5,50,0
30,30,1,860000,2,-75,40,4.8,2e5,50,0
30,30,1,860000,2,-65,40,4.6,2e5,50,0
30,30,1,860000,2,-60,40,4.4,2e5,50,0
30,30,5,125000,2,-45,40,3.8,2e5,50,0
30,30,5,125000,2,-50,40,3.8,2e5,50,0
30,30,5,125000,2,-55,40,3.8,2e5,50,0
50,50,1,3000000,2,-60,40,4.8,2e5,50,0
50,50,1,3000000,2,-75,40,4.8,2e5,50,0
